Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
H 1743-322,BH,8.040564e+28,0.0,0.0,1.690647e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.806333e+28,0.0,0.0,8.023411e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.18694e+29,0.0,0.0,4.298256e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,6.509028e+28,0.0,0.0,2.005853e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,4.977492e+28,0.0,0.0,2.005853e+34,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.680188e+28,0.0,0.0,3.152054e+33,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,6.662182e+29,0.0,0.0,1.50439e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,9.725254e+29,0.0,0.0,1.647665e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,9.304082e+29,0.0,0.0,1.704975e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,9.11264e+29,0.0,0.0,1.73363e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,3.59911e+29,0.0,0.0,9.642421e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,3.59911e+29,0.0,0.0,8.61084e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.576602e+29,0.0,0.0,1.96287e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.045273e+30,0.0,0.0,2.378368e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.266673e+29,0.0,0.0,7.564931e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.090547e+29,0.0,0.0,7.264053e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.569824e+29,0.0,0.0,6.891537e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.282661e+29,0.0,0.0,5.014632e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.247529e+29,0.0,0.0,4.040361e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.415998e+29,0.0,0.0,2.034508e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,7.313085e+28,0.0,0.0,1.088892e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.072075e+29,0.0,0.0,1.518717e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
V 404 Cyg,BH,6.185314e+27,0.0,0.0,2.622533e+32,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
